tabla,registros
-----,---------
tbl_dt,3964
Tbl_SProductos,1560
Recetas,1486
Recetas2,1486
tbl_Recetas,1483
tbl_xx,1462
Tbl_excel2,475
Tbl_Rubro_Proyecto,405
Tbl_Proveedores,343
Tbl_Productos,270
Tbl_productos_configuracion_contable,257
anuladas,234
tbl_p,194
Tbl_Orden_Compra_Proyecto_Detalle,179
Tbl_inventario_fisico_detalle,136
Tbl_Cambios_CostPrec,125
tbl_bk_tbl_inventario_fisico_detalle,118
tempsprod,74
Tbl_Unidad_Medida,66
Tbl_Detalle_movimientos,46
TblOpcion,39
TblRolOpcion,39
Tbl_Orden_Compra_Proyecto,28
Tbl_Contabiliza_Cargos,24
__EFMigrationsHistory,23
Tbl_Log_Orden_Compra_Proyecto,23
Tbl_existencia,21
Tbl_cabecera_movimientos,18
Tbl_Proyecto,16
TBL_ZONA_CALIDA,15
Tbl_Log_Tbl_Proyecto_Estado,14
Tbl_Mproyecto,13
Tbl_Det_Abonos,13
Tbl_Tipos_Inv,11
Tbl_Abonos,11
Tbl_contrasenas,10
Tbl_configuracion_agente_retenedor_iva,9
Tbl_articulos,7
dtproperties,7
Tbl_anticipos_clientes,6
Tbl_grupo_cliente,6
Tbl_Cargos,6
Tbl_Division,6
tempprod,6
Tbl_Detalle_generacion_compra,5
Tbl_excel1,5
Tbl_anticipos_clientes_forma_cobro,5
Tbl_recepcion_pedidos,5
Tbl_recepcion_pedidos_detalle,5
Tbl_cuentas_por_cobrar,5
Tbl_bodega,5
Tbl_tipo_ocompra,4
Tbl_importacion,4
Tbl_Ente_facturador,4
empresas,4
AspNetUsers,4
Tbl_Estado_Orden,4
Tbl_Info_Usuario,4
AspNetUserRoles,4
Tbl_Conf_Empresa,4
AspNetRoles,3
tmp_ventas_mes,3
Tbl_Cab_Notas_Credito,3
Tbl_Cab_generacion_compras,3
Tbl_pedidos,2
Tbl_inventario_fisico,2
Tbl_detalle_pedidos,2
Tbl_Casas_Credito,2
Tbl_Cajeros,1
Tbl_Linea,1
Tbl_departamentos,1
Tbl_Proveedores_ctas,1
Tbl_detalle_anticipos_clientes,1
Tbl_Cajas,1
Tbl_Prod_Proveedores,1
sysdiagrams,1
Tbl_Series_Por_Caja,1
Tbl_Configuracion,1
Tbl_reporte,1
provsm,1
tbl_a,1
PRVMENT,0
MENPRV,0
Tbl_SubRubro_Proyecto,0
Tbl_Cab_Facturacion,0
Tbl_Det_Facturacion_SProducto,0
Tbl_contabiliza_abonos,0
Tbl_cabecera_orden_produccion,0
Tbl_detalle_orden_produccion,0
Tbl_produccion_diaria,0
Tbl_producto_conversion,0
Tbl_det_explosion,0
Tbl_cobros,0
Tbl_Cliente_plantilla,0
Tbl_cuentas_por_cobrar_integracion_plantilla,0
tbl_cliente_gasolina,0
Tbl_articulo_configura_costo_venta,0
Tbl_Orden_Servicio_Detalle_Integracion_eliminadas,0
Tbl_detalle_importacion,0
AspNetUserTokens,0
Tbl_Cab_Oferta,0
Tbl_Det_Oferta,0
Tbl_cuentas_por_cobrar_retencion_iva,0
Tbl_Orden_Cocina,0
Tbl_Flujo_Orden,0
AspNetRoleClaims,0
AspNetUserClaims,0
AspNetUserLogins,0
tbl_solicitud_Despacho_cliente_detalle,0
Tbl_solicitud_despacho_cliente,0
tbl_cab_entrega_despacho,0
tbl_det_entrega_despacho,0
SYS_SECURITY,0
Tbl_mesero,0
Tbl_comanda,0
Tbl_comanda_detalle,0
Tbl_plantilla_poliza,0
Tbl_plantilla_poliza_detalle,0
Tbl_Cortes,0
Tbl_Arqueo_Caja,0
Tbl_contabiliza_anticipos_clientes,0
Tbl_presupuesto_servicio,0
Tbl_presupuesto_servicio_detalle,0
Tbl_Contabiliza_Cuentas_por_cobrar,0
Tbl_Presupuesto_Orden_Servicio,0
Tbl_Presupuesto_Orden_Servicio_Detalle_Integracion,0
Tbl_Det_Notas_Credito,0
Tbl_Orden_Servicio,0
Tbl_Anticipos_Pos,0
Tbl_anticipos_pos_aplicacion,0
Tbl_Series,0
Tbl_Ordenes_Detalle,0
Tbl_cotizacion_clientes_detalle,0
tbl_presupuesto_orden_servicio_detalle,0
Tbl_Tipo_Vehiculos,0
Tbl_Ordenes,0
Tbl_Vehiculos,0
tbl_productos_comisiones,0
Tbl_cotizacion_clientes,0
Tbl_Det_Facturacion,0
Tbl_Detalle_movimientos_sub,0
Tbl_Orden_Servicio_Detalle_Integracion,0
Tbl_Bancos,0
Tbl_detalle_compras,0
Tbl_Marcas,0
Tbl_colores,0
Tbl_impuesto_carburantes,0
Tbl_Linea_Vehiculo,0
Tbl_Orden_Servicio_Detalle,0
Tbl_Vendedores,0
Tbl_det_cobros,0
Tbl_insumos_servicios,0
TblFacturaTCProcesamientos,0

(153 rows affected)
