TABLE_NAME,INDEX_NAME,type_desc,is_unique,is_primary_key,COLUMNS
----------,----------,---------,---------,--------------,-------
__EFMigrationsHistory,PK___EFMigrationsHistory,CLUSTERED,1,1,MigrationId
bodega,IX_bodega_EmpresaIdEmpresa,NONCLUSTERED,0,0,EmpresaIdEmpresa
bodega,PK_bodega,CLUSTERED,1,1,IdBodega
Cliente,IX_Cliente_EmpresaIdEmpresa,NONCLUSTERED,0,0,EmpresaIdEmpresa
Cliente,NIT,NONCLUSTERED,1,0,NIT
Cliente,PK_Cliente,CLUSTERED,1,1,IdCliente
Color,IX_Color_EmpresaIdEmpresa,NONCLUSTERED,0,0,EmpresaIdEmpresa
Color,PK_Color,CLUSTERED,1,1,IdColor
Empleado,PK_Empleado_1,CLUSTERED,1,1,IdTblEmpleado
Empresa,PK_Empresa,CLUSTERED,1,1,IdEmpresa
Linea,PK_Linea,CLUSTERED,1,1,IdLinea
Marca,IX_Marca_EmpresaIdEmpresa,NONCLUSTERED,0,0,EmpresaIdEmpresa
Marca,PK_Marca,CLUSTERED,1,1,IdMarcaVehiculo
Mecanico,IX_Empleado_EmpresaIdEmpresa,NONCLUSTERED,0,0,EmpresaIdEmpresa
Mecanico,PK_Empleado,CLUSTERED,1,1,IdMecanico
OrdenServicio,IX_OrdenServicio_EmpresaIdEmpresa,NONCLUSTERED,0,0,EmpresaIdEmpresa
OrdenServicio,PK_OrdenServicio,CLUSTERED,1,1,IdOrdenServicio
OrdenServicioDetalle,IX_OrdenServicioDetalle_OrdenServicioIdOrdenServicio,NONCLUSTERED,0,0,OrdenServicioIdOrdenServicio
OrdenServicioDetalle,PK_OrdenServicioDetalle,CLUSTERED,1,1,IdOrdenServicioDetalle
OrdenServicioDetalleIntegracion,IX_OrdenServicioDetalleIntegracion_OrdenServicioDetalleIdOrdenServicioDetalle,NONCLUSTERED,0,0,OrdenServicioDetalleIdOrdenServicioDetalle
OrdenServicioDetalleIntegracion,PK_OrdenServicioDetalleIntegracion,CLUSTERED,1,1,IdOrdenServicioDetalleIntegracion
OrdenServicioEstado,PK_OrdenServicioEstado,CLUSTERED,1,1,IdOrdenServicioEstado
Presupuesto,PK_Presupuesto,CLUSTERED,1,1,IdPresupuesto
PresupuestoDetalle,PK_PresupuestoDetalle,CLUSTERED,1,1,IdPresupuestoDetalle
Producto,IX_Producto_EmpresaIdEmpresa,NONCLUSTERED,0,0,EmpresaIdEmpresa
Producto,PK_Producto,CLUSTERED,1,1,IdProducto
Servicio,IX_Servicio_EmpresaIdEmpresa,NONCLUSTERED,0,0,EmpresaIdEmpresa
Servicio,PK_Servicio,CLUSTERED,1,1,IdServicio
ServicioProducto,IX_ServicioProducto_ProductoIdProducto,NONCLUSTERED,0,0,ProductoIdProducto
ServicioProducto,IX_ServicioProducto_ServicioIdServicio,NONCLUSTERED,0,0,ServicioIdServicio
ServicioProducto,PK_ServicioProducto,CLUSTERED,1,1,IdServicioProducto
sysdiagrams,PK__sysdiagr__C2B05B61FAAB7B1F,CLUSTERED,1,1,diagram_id
sysdiagrams,UK_principal_name,NONCLUSTERED,1,0,principal_id, name
TblUsuario,PK_TblUsuario,CLUSTERED,1,1,IdTblUsuario
TipoVehiculo,PK_TipoVehiculo,CLUSTERED,1,1,IdTipoVehiculo
Vehiculo,IX_Vehiculo_EmpresaIdEmpresa,NONCLUSTERED,0,0,EmpresaIdEmpresa
Vehiculo,IX_Vehiculo_TipoVehiculoIdTipoVehiculo,NONCLUSTERED,0,0,TipoVehiculoIdTipoVehiculo
Vehiculo,NonClusteredIndex-20250701-215245,NONCLUSTERED,1,0,NumPlaca
Vehiculo,PK_Vehiculo,CLUSTERED,1,1,IdVehiculo

(39 rows affected)
